startyear,cruiseseries,cruise,callsignal,platformname,missionid,n_stations,n_records,included,excluded_records,exclusion_reason
1981,BSS,1981010,LLZG,G.O.Sars,1981_12,6,18,TRUE,0,NA
1981,Other,1981003,LMNJ,Vikheim,1981_5,93,279,TRUE,0,NA
1981,Other,1981010,LHUW,Michael Sars,1981_8,69,207,TRUE,0,NA
1981,WinterS,1981001,LMNJ,Vikheim,1981_4,115,345,FALSE,1,Russian EEZ
1981,WinterS,1981001,LNYT,Vårberget,1981_3,118,354,FALSE,1,Russian EEZ
1981,WinterS,1981002,LLZG,G.O.Sars,1981_13,77,231,FALSE,1,Russian EEZ
1982,Other,1982002,LMNJ,Vikheim,1982_4,89,267,TRUE,0,NA
1982,Other,1982011,LHUW,Michael Sars,1982_7,77,231,TRUE,0,NA
1982,WinterS,1982001,LMCT,Masi,1982_1,145,435,FALSE,1,Russian EEZ
1982,WinterS,1982001,LMNJ,Vikheim,1982_2,141,423,FALSE,1,Russian EEZ
1982,WinterS,1982002,LLZG,G.O.Sars,1982_12,68,204,FALSE,1,Russian EEZ
1983,Other,1983001,LHLU,Bøtrål IV,1983_15,127,381,TRUE,0,NA
1983,Other,1983011,LHYB,Eldjarn,1983_4,68,204,TRUE,0,NA
1983,WinterS,1983001,JXTZ,Stallo,1983_14,125,375,FALSE,1,Russian EEZ
1983,WinterS,1983001,LNIF,Hagbart Kræmer,1983_12,132,396,FALSE,1,Russian EEZ
1983,WinterS,1983002,LLZG,G.O.Sars,1983_6,62,186,FALSE,1,Russian EEZ
1984,BSS,1984003,LJIT,Håkon Mosby,1984_10,1,3,TRUE,0,NA
1984,BSS,1984010,LLZG,G.O.Sars,1984_11,1,3,TRUE,0,NA
1984,Other,1984001,JXTZ,Stallo,1984_5,185,555,FALSE,1,Russian EEZ
1984,Other,1984013,LHYB,Eldjarn,1984_13,86,258,TRUE,0,NA
1984,WinterS,1984001,LNNS,Vesttind,1984_3,110,330,FALSE,1,Russian EEZ
1984,WinterS,1984002,LLZG,G.O.Sars,1984_12,74,222,FALSE,1,Russian EEZ
1984,WinterS,1984002,LMCT,Masi,1984_4,135,405,FALSE,1,Russian EEZ
1985,CoastalS,1985013,LLZG,G.O.Sars,1985_16,21,63,TRUE,0,NA
1985,Other,1985001,LAMC,Raiti,1985_5,106,318,TRUE,0,NA
1985,Other,1985012,LHYB,Eldjarn,1985_20,96,288,TRUE,0,NA
1985,WinterS,1985001,JXTZ,Stallo,1985_3,129,387,FALSE,1,Russian EEZ
1985,WinterS,1985002,LLZG,G.O.Sars,1985_19,21,63,FALSE,1,Russian EEZ
1985,WinterS,1985002,LMCT,Masi,1985_9,134,402,FALSE,1,Russian EEZ
1986,BSS,1986012,LHYB,Eldjarn,1986_22,53,159,FALSE,1,Russian EEZ
1986,CoastalS,1986006,LLZG,G.O.Sars,1986_29,32,96,TRUE,0,NA
1986,Other,1986001,LIZY,Anny Kræmer,1986_37,189,567,TRUE,0,NA
1986,Other,1986001,LJIT,Håkon Mosby,1986_5,14,42,TRUE,0,NA
1986,WinterS,1986002,LAMC,Raiti,1986_38,127,381,FALSE,1,Russian EEZ
1986,WinterS,1986002,LHUW,Michael Sars,1986_26,24,72,FALSE,1,Russian EEZ
1986,WinterS,1986002,LLZG,G.O.Sars,1986_21,38,114,FALSE,1,Russian EEZ
1987,BSS,1987008,LHYB,Eldjarn,1987_13,8,24,TRUE,0,NA
1987,BSS,1987009,LHYB,Eldjarn,1987_14,104,312,TRUE,0,NA
1987,BSS,1987011,LHUW,Michael Sars,1987_23,50,150,TRUE,0,NA
1987,BSS,1987011,LLZG,G.O.Sars,1987_19,60,180,FALSE,1,Russian EEZ
1987,CoastalS,1987012,LLZG,G.O.Sars,1987_20,32,96,TRUE,0,NA
1987,WinterS,1987001,LMCT,Masi,1987_28,113,339,FALSE,1,Russian EEZ
1987,WinterS,1987002,LLZG,G.O.Sars,1987_16,60,180,FALSE,1,Russian EEZ
1987,WinterS,1987003,LHUW,Michael Sars,1987_22,49,147,FALSE,1,Russian EEZ
1988,BSS,1988010,LHUW,Michael Sars,1988_5,30,90,TRUE,0,NA
1988,BSS,1988012,LHYB,Eldjarn,1988_36,42,126,FALSE,1,Russian EEZ
1988,BSS,1988012,LLZG,G.O.Sars,1988_46,27,81,TRUE,0,NA
1988,CoastalS,1988014,LLZG,G.O.Sars,1988_40,29,87,TRUE,0,NA
1988,Other,1988001,LIZY,Anny Kræmer,1988_51,217,651,TRUE,0,NA
1988,WinterS,1988001,LHVR,T.O.Senior,1988_53,129,387,FALSE,1,Russian EEZ
1988,WinterS,1988002,LHUW,Michael Sars,1988_41,80,240,FALSE,1,Russian EEZ
1988,WinterS,1988002,LLZG,G.O.Sars,1988_44,109,327,FALSE,1,Russian EEZ
1989,BSS,1989001,JWOD,Kasfjord,1989_69,38,114,TRUE,0,NA
1989,BSS,1989001,JXQN,Atlantic,1989_64,27,81,TRUE,0,NA
1989,BSS,1989001,JXQZ,Eldborgtrål,1989_16,29,87,FALSE,1,Russian EEZ
1989,BSS,1989001,JXRD,Andenesfisk II,1989_13,15,45,TRUE,0,NA
1989,BSS,1989001,JXTY,Bjørnøy,1989_72,26,78,TRUE,0,NA
1989,BSS,1989001,JXUS,Havstrand,1989_67,28,84,FALSE,1,Russian EEZ
1989,BSS,1989001,LAMY,Juvel,1989_73,29,87,TRUE,0,NA
1989,BSS,1989001,LCYA,Nord Rollnes,1989_17,18,54,TRUE,0,NA
1989,BSS,1989001,LGFE,Ole Sætremyr,1989_70,24,72,TRUE,0,NA
1989,BSS,1989001,LHLU,Bøtrål IV,1989_10,32,96,TRUE,0,NA
1989,BSS,1989001,LHXV,Nordstar,1989_65,30,90,TRUE,0,NA
1989,BSS,1989001,LJIH,Peder Huse,1989_71,28,84,FALSE,1,Russian EEZ
1989,BSS,1989003,LIZY,Anny Kræmer,1989_63,29,87,FALSE,1,Russian EEZ
1989,BSS,1989011,LHYB,Eldjarn,1989_40,2,6,TRUE,0,NA
1989,BSS,1989011,LLZG,G.O.Sars,1989_44,3,9,TRUE,0,NA
1989,BSS,1989012,LHUW,Michael Sars,1989_60,7,21,FALSE,1,Russian EEZ
1989,BSS,1989012,LHYB,Eldjarn,1989_54,3,9,TRUE,0,NA
1989,BSS,1989012,LLZG,G.O.Sars,1989_45,29,87,FALSE,1,Russian EEZ
1989,BSS,1989014,LHYB,Eldjarn,1989_55,19,57,TRUE,0,NA
1989,CoastalS,1989013,LLZG,G.O.Sars,1989_59,35,105,TRUE,0,NA
1989,Other,1989001,LIZY,Anny Kræmer,1989_66,180,540,TRUE,0,NA
1989,Other,1989006,LHUW,Michael Sars,1989_18,6,18,TRUE,0,NA
1989,Other,1989010,LHUW,Michael Sars,1989_32,110,330,TRUE,0,NA
1989,WinterS,1989002,LHUW,Michael Sars,1989_46,28,84,FALSE,1,Russian EEZ
1989,WinterS,1989002,LIZY,Anny Kræmer,1989_68,128,384,FALSE,1,Russian EEZ
1989,WinterS,1989002,LLZG,G.O.Sars,1989_43,46,138,FALSE,1,Russian EEZ
1990,BSS,1990001,JWOD,Kasfjord,1990_111,46,138,FALSE,1,Russian EEZ
1990,BSS,1990001,JXHR,Myrefisk I,1990_108,39,117,FALSE,1,Russian EEZ
1990,BSS,1990001,JXRD,Andenesfisk II,1990_2,48,144,TRUE,0,NA
1990,BSS,1990001,LCYA,Nord Rollnes,1990_8,37,111,FALSE,1,Russian EEZ
1990,BSS,1990001,LMXC,Håkøy II,1990_7,43,129,TRUE,0,NA
1990,BSS,1990008,LHUW,Michael Sars,1990_103,2,6,TRUE,0,NA
1990,BSS,1990009,LHUW,Michael Sars,1990_104,38,114,FALSE,1,Russian EEZ
1990,BSS,1990010,LLZG,G.O.Sars,1990_91,23,69,FALSE,1,Russian EEZ
1990,BSS,1990013,LHYB,Eldjarn,1990_98,91,273,FALSE,1,Russian EEZ
1990,Other,1990001,LIZY,Anny Kræmer,1990_112,206,618,TRUE,0,NA
1990,Other,1990005,LHUW,Michael Sars,1990_4,136,408,FALSE,1,Russian EEZ
1990,Other,1990007,LHUW,Michael Sars,1990_6,138,414,TRUE,0,NA
1990,Other,1990011,LLZG,G.O.Sars,1990_92,1,3,TRUE,0,NA
1990,WinterS,1990002,LHUW,Michael Sars,1990_101,6,18,TRUE,0,NA
1990,WinterS,1990002,LIZY,Anny Kræmer,1990_110,165,495,FALSE,1,Russian EEZ
1990,WinterS,1990002,LLZG,G.O.Sars,1990_100,58,174,FALSE,1,Russian EEZ
1991,BSS,1991001,JWWB,Gargia,1991_33,50,150,FALSE,1,Russian EEZ
1991,BSS,1991001,JXRD,Andenesfisk II,1991_9,56,168,FALSE,1,Russian EEZ
1991,BSS,1991001,JXWX,Varegg,1991_29,49,147,TRUE,0,NA
1991,BSS,1991001,LGEB,Jergul,1991_34,62,186,FALSE,1,Russian EEZ
1991,BSS,1991001,LMXC,Håkøy II,1991_31,52,156,TRUE,0,NA
1991,BSS,1991003,LIZY,Anny Kræmer,1991_28,27,81,FALSE,1,Russian EEZ
1991,BSS,1991009,LHUW,Michael Sars,1991_25,69,207,FALSE,1,Russian EEZ
1991,BSS,1991011,LLZG,G.O.Sars,1991_15,38,114,TRUE,0,NA
1991,BSS,1991012,LDGJ,Johan Hjort,1991_22,1,3,TRUE,0,NA
1991,CoastalS,1991014,LDGJ,Johan Hjort,1991_23,54,162,TRUE,0,NA
1991,Other,1991001,LIZY,Anny Kræmer,1991_30,218,654,TRUE,0,NA
1991,Other,1991005,LHUW,Michael Sars,1991_5,127,381,FALSE,1,Russian EEZ
1991,Other,1991006,LLZG,G.O.Sars,1991_120,1,3,TRUE,0,NA
1991,Other,1991017,LDGJ,Johan Hjort,1991_8,12,36,TRUE,0,NA
1991,WinterS,1991002,LIZY,Anny Kræmer,1991_32,172,516,FALSE,1,Russian EEZ
1991,WinterS,1991002,LLZG,G.O.Sars,1991_14,89,267,FALSE,1,Russian EEZ
1991,WinterS,1991003,LDGJ,Johan Hjort,1991_21,41,123,FALSE,1,Russian EEZ
1992,BSS,1992001,JXNA,Prestfjord,1992_34,44,132,FALSE,1,Russian EEZ
1992,BSS,1992001,JXTZ,Stallo,1992_49,41,123,FALSE,1,Russian EEZ
1992,BSS,1992001,JXWX,Varegg,1992_46,44,132,TRUE,0,NA
1992,BSS,1992001,LMNJ,Skjervøyfisk,1992_36,41,123,TRUE,0,NA
1992,BSS,1992002,JWWB,Gargia,1992_47,38,114,TRUE,0,NA
1992,BSS,1992003,LIZY,Anny Kræmer,1992_48,46,138,FALSE,1,Russian EEZ
1992,BSS,1992011,LDGJ,Johan Hjort,1992_24,1,3,TRUE,0,NA
1992,BSS,1992013,LHUW,Michael Sars,1992_27,79,237,FALSE,1,Russian EEZ
1992,BSS,1992013,LLZG,G.O.Sars,1992_20,29,87,TRUE,0,NA
1992,CoastalS,1992013,LDGJ,Johan Hjort,1992_25,64,192,TRUE,0,NA
1992,Other,1992001,JWWB,Gargia,1992_31,161,483,TRUE,0,NA
1992,Other,1992001,LIZY,Anny Kræmer,1992_44,180,540,TRUE,0,NA
1992,Other,1992003,LHUW,Michael Sars,1992_150,2,6,TRUE,0,NA
1992,Other,1992003,LLZG,G.O.Sars,1992_158,6,18,TRUE,0,NA
1992,Other,1992011,LEDR,Johan Ruud,1992_53,125,375,TRUE,0,NA
1992,Other,1992014,LLZG,G.O.Sars,1992_2,3,9,TRUE,0,NA
1992,WinterS,1992002,LDGJ,Johan Hjort,1992_22,56,168,FALSE,1,Russian EEZ
1992,WinterS,1992002,LIZY,Anny Kræmer,1992_50,162,486,FALSE,1,Russian EEZ
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1001,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1002,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1003,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1004,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1005,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1006,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1007,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1008,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1009,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1010,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1011,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1012,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1013,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1014,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1015,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1016,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1017,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1018,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1019,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1020,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1021,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1022,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1023,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1024,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1025,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1026,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1027,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1028,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1029,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1030,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1031,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1032,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1033,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1034,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1035,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1036,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1037,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1038,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1039,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1040,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1041,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1042,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1043,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1044,1,1,TRUE,0,NA
1993,BHtokt,BAR1993.SPD,LAHV,Jan Mayen,1993_1045,1,1,TRUE,0,NA
